"table_name","column_name","data_type","is_nullable","column_default"
"admin_access","user_id","uuid","NO","null"
"admin_access","is_super_admin","boolean","YES","false"
"admin_access","created_at","timestamp with time zone","YES","timezone('utc'::text, now())"
"bookings","id","uuid","NO","uuid_generate_v4()"
"bookings","customer_id","uuid","YES","null"
"bookings","user_id","uuid","YES","null"
"bookings","from_location","text","NO","null"
"bookings","to_location","text","NO","null"
"bookings","departure_date","date","NO","null"
"bookings","departure_time","time without time zone","NO","null"
"bookings","return_date","date","YES","null"
"bookings","return_time","time without time zone","YES","null"
"bookings","service_type","text","NO","null"
"bookings","group_size","integer","NO","null"
"bookings","payment_method","text","NO","null"
"bookings","total_amount","numeric","NO","null"
"bookings","payment_status","text","NO","null"
"bookings","status","text","NO","null"
"bookings","payment_session_id","text","YES","null"
"bookings","created_at","timestamp with time zone","YES","now()"
"bookings","updated_at","timestamp with time zone","YES","now()"
"bookings","pickup_option","text","NO","'airport'::text"
"bookings","hotel_pickup","text","YES","null"
"bookings","hotel_details","jsonb","YES","null"
"bookings","confirmation_email_sent","boolean","YES","false"
"bookings","confirmation_email_sent_at","timestamp with time zone","YES","null"
"bookings","driver_assignment_email_sent","boolean","YES","false"
"bookings","driver_assignment_email_sent_at","timestamp with time zone","YES","null"
"bookings","driver_notification_sent","boolean","YES","false"
"bookings","driver_notification_sent_at","timestamp with time zone","YES","null"
"bookings","driver_notification_attempted","boolean","YES","false"
"bookings","driver_notification_attempted_at","timestamp with time zone","YES","null"
"bookings","driver_notification_success","boolean","YES","false"
"bookings","assigned_driver_id","uuid","YES","null"
"bookings","rating","integer","YES","null"
"customers","id","uuid","NO","uuid_generate_v4()"
"customers","user_id","uuid","YES","null"
"customers","first_name","text","NO","null"
"customers","last_name","text","NO","null"
"customers","mobile_number","text","NO","null"
"customers","messenger_type","text","NO","null"
"customers","messenger_contact","text","NO","null"
"customers","created_at","timestamp with time zone","YES","now()"
"customers","updated_at","timestamp with time zone","YES","now()"
"customers","email","text","YES","null"
"driver_application_drafts","id","uuid","NO","uuid_generate_v4()"
"driver_application_drafts","user_id","uuid","NO","null"
"driver_application_drafts","form_data","jsonb","NO","null"
"driver_application_drafts","current_step","integer","NO","null"
"driver_application_drafts","last_updated","timestamp with time zone","NO","timezone('utc'::text, now())"
"driver_applications","id","uuid","NO","uuid_generate_v4()"
"driver_applications","user_id","uuid","YES","null"
"driver_applications","driver_id","uuid","YES","null"
"driver_applications","full_name","text","NO","null"
"driver_applications","email","text","NO","null"
"driver_applications","mobile_number","text","NO","null"
"driver_applications","address","text","NO","null"
"driver_applications","license_number","text","NO","null"
"driver_applications","license_expiration","date","NO","null"
"driver_applications","license_type","text","NO","null"
"driver_applications","vehicle_make","text","NO","null"
"driver_applications","vehicle_model","text","NO","null"
"driver_applications","vehicle_year","integer","NO","null"
"driver_applications","plate_number","text","NO","null"
"driver_applications","or_cr_number","text","NO","null"
"driver_applications","vehicle_color","text","NO","null"
"driver_applications","insurance_provider","text","NO","null"
"driver_applications","policy_number","text","NO","null"
"driver_applications","policy_expiration","date","NO","null"
"driver_applications","tnvs_number","text","YES","null"
"driver_applications","cpc_number","text","YES","null"
"driver_applications","bank_name","text","NO","null"
"driver_applications","account_number","text","NO","null"
"driver_applications","account_holder","text","NO","null"
"driver_applications","driver_license_url","text","YES","null"
"driver_applications","or_cr_url","text","YES","null"
"driver_applications","insurance_url","text","YES","null"
"driver_applications","vehicle_front_url","text","YES","null"
"driver_applications","vehicle_side_url","text","YES","null"
"driver_applications","vehicle_rear_url","text","YES","null"
"driver_applications","nbi_clearance_url","text","YES","null"
"driver_applications","medical_certificate_url","text","YES","null"
"driver_applications","status","USER-DEFINED","YES","'pending'::driver_application_status"
"driver_applications","notes","text","YES","null"
"driver_applications","reviewed_by","uuid","YES","null"
"driver_applications","reviewed_at","timestamp with time zone","YES","null"
"driver_applications","created_at","timestamp with time zone","YES","timezone('utc'::text, now())"
"driver_applications","updated_at","timestamp with time zone","YES","timezone('utc'::text, now())"
"driver_applications","documents","jsonb","YES","null"
"driver_applications","terms_accepted","boolean","YES","false"
"driver_applications","privacy_accepted","boolean","YES","false"
"driver_assignments","id","uuid","NO","uuid_generate_v4()"
"driver_assignments","booking_id","uuid","YES","null"
"driver_assignments","driver_id","uuid","YES","null"
"driver_assignments","status","text","YES","null"
"driver_assignments","created_at","timestamp with time zone","YES","timezone('utc'::text, now())"
"driver_assignments","updated_at","timestamp with time zone","YES","timezone('utc'::text, now())"
"driver_availability","id","uuid","NO","uuid_generate_v4()"
"driver_availability","driver_id","uuid","YES","null"
"driver_availability","day_of_week","integer","NO","null"
